Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,2,Afghanistan,26,Brunei Darussalam,5910,Export Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,41,"China, mainland",5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,10,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,8,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,1,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,1,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,159,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,60,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,13,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5910,Export Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,115,,Official data
TM,Detailed trade matrix,2,Afghanistan,118,Kuwait,5910,Export Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,63041,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,77104,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,77373,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,49782,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,6064,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,9963,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,2976,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,1,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,100,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,27,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,117,Republic of Korea,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,117,Republic of Korea,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,208,Tajikistan,5910,Export Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,60,,Official data
TM,Detailed trade matrix,2,Afghanistan,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,*,Unofficial figure
