Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,714,,Official data
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,1311,,Official data
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,579,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,840,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,1014,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,100,India,5910,Export Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,118,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,144,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,1431,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,21,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,102,Iran (Islamic Republic of),5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,74,,Official data
TM,Detailed trade matrix,2,Afghanistan,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,29,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,118,Kuwait,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,131,Malaysia,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,4127,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,8416,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,2290,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,4752,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,12815,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,890,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,1200,,Official data
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,36761,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,18541,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,18074,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,165,Pakistan,5910,Export Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,8680,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,38,Sri Lanka,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,208,Tajikistan,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,9,,Official data
TM,Detailed trade matrix,2,Afghanistan,208,Tajikistan,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,29,,Official data
TM,Detailed trade matrix,2,Afghanistan,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,374,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,794,R,Estimated data using trading partners database
TM,Detailed trade matrix,2,Afghanistan,213,Turkmenistan,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,20,,Official data
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,7220,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,1952,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,3311,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,112,,Official data
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,15,,Official data
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,20,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,56,*,Unofficial figure
TM,Detailed trade matrix,2,Afghanistan,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,71,*,Unofficial figure
TM,Detailed trade matrix,1,Armenia,41,"China, mainland",5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,12,,Official data
TM,Detailed trade matrix,1,Armenia,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,8,,Official data
